"DP_Name","TP_Name","EdgeID",Vertical,"Sub Vertical",City,State,"Server Type","Sub Server Type",Reach,"No of Aps",Capex,Opex,"Deal Value","Deal Term",Revenue,"Budget for Ops","Budget for Connectivity","Actual spends on connectivity",Active
NMMT,MH43-H-5268,c00187,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5139,e76f8b,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5194,42d972,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5160,7039b3,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5274,bfe529,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5099,71b607,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5153,6d4942,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5283,98a03c,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5140,9cd1c9,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5136,07c436,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5106,f1a6fc,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5213,76efcf,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5063,cb4083,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5156,eb0a03,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5260,6a7621,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5254,85a8ec,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5091,cf7247,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5209,f150f2,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5203,482cbe,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5102,391597,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5218,604ec4,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5136,02d09c,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5195,12f096,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5244,17d07f,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5211,10c3f8,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5223,28df3c,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5162,238235,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5143,011682,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5146,58afa7,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5141,eba8d2,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5251,215b1f,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5183,464482,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5072,33e256,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5193,3c7671,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5104,4bfae0,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5166,62ae27,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5264,5dcbcc,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5154,1a748a,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5260,3ee41a,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5172,a87cc2,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5270,568703,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5279,58c3d0,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5239,152b63,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5184,14d479,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5276,0e6b11,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5190,18ffa3,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5246,42a945,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5158,6a2dfc,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5148,5b6a38,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5170,283f72,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5169,77df56,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5232,f69074,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5163,f7e134,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5178,a44ffe,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5179,8b7114,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5248,d2e02f,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5287,b544ed,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5231,c2305b,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5196,6ad517,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5285,0df688,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5226,aff904,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5281,ea54e8,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5089,e7d2c7,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH-43-H-5237,ff7e60,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5221,f8a64a,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5265,d9b1af,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5232,af79f7,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5227,99e04d,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5164,a3e891,"Private Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5159,5e0e61,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5228,6865a1,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5224,b71597,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5284,bc9cc2,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5200,b718c5,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5147,90aeb5,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5186,eead32,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5278,fcc8bc,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43-H-5243,0aa0e1,"Public Transport","City Bus","Navi Mumbai",Maharashtra,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
